GeneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
NPY	4.65795690823704	4.97480188481143	5.94253215360599	1.16451803788926e-08	6.607954854411e-06	9.49274969071107
TDRD1	3.72402351278868	1.60447274722175	9.19295210198282	3.99783317091899e-17	2.571006512218e-13	27.8476008138723
ERG	3.68978178637071	4.44103047763769	24.0589841915094	4.5457007418299e-62	8.77002044121242e-58	122.75707914186
LINC01207	3.23115848123989	-0.535097299228528	6.25487618547671	2.22002993199498e-09	1.64734759530689e-06	11.0470584135151
HNF1B	3.08879048954773	-0.342436149498004	6.3037074897183	1.70485602738665e-09	1.31567149345482e-06	11.2949184614763
GRM7	2.89354303951567	-2.23736431618489	8.02170219199804	7.44142661946338e-14	2.87134887538614e-10	20.7469398357954
NUPR2	2.48419194905932	-1.07187836466144	5.36249306412132	2.17123839993657e-07	6.41090175601401e-05	6.75722848605013
APOD	2.47450179036505	6.54518688638418	9.40929880482422	9.49130276645113e-18	9.15578521365708e-14	29.2033746203326
NKX2-2	2.47396596281542	-0.204566899865377	6.73643631409769	1.55358866823962e-10	1.76389795248682e-07	13.5460501194917
CDH10	2.46596054901329	-0.534887897022744	6.31742511743572	1.58260479864072e-09	1.31567149345482e-06	11.3647781199697
ANKRD34B	2.45502227620393	0.853077332460978	5.47274517169405	1.26500033152322e-07	4.35815203501384e-05	7.26140554236408
NKAIN1	2.40515318736864	2.2371070134144	6.7278817345882	1.63046637526666e-10	1.76389795248682e-07	13.5006244923793
ADARB2	2.37517035385305	-1.83345899088519	6.79472563051455	1.11682334894099e-10	1.53906234793704e-07	13.8565312780095
GLDC	2.28712427018866	0.792339746613495	8.40878004081624	6.5103933129304e-15	3.14012545465915e-11	23.0445403131373
SLC18A3	2.2331894965121	-3.57470716536363	6.07454213874544	5.81915535629132e-09	3.62157949319124e-06	10.1430123000566
Mar-11	2.20651030150389	-2.28214250443482	5.2120595161572	4.48153467887032e-07	0.000118441436382802	6.08173355692184
MPPED1	2.16739571038182	-2.35674867549212	6.49446857896625	6.00267479234451e-10	5.26407294403194e-07	12.2753676084843
CACNA1B	2.12683527124956	-1.47890383428299	6.77735431794103	1.23249022652979e-10	1.58522892936262e-07	13.7638276200751
CRISP3	2.1057462479879	3.91268593751758	3.66811175367423	0.00031024069969691	0.0128997280587338	0.0551258711317049
WNT2	2.10391029886017	-1.25108893469122	4.95850410115682	1.47037961421472e-06	0.000271782829345435	4.97653140325435
ARSH	2.10245786308938	-1.98688333132249	7.85209635422309	2.12543988402674e-13	5.89854989609772e-10	19.757350657161
TUNAR	2.0729491205601	-2.32696457338627	4.04825003880739	7.27319482162372e-05	0.00475666941334191	1.37644509921723
RORB	2.06883182910004	0.276783496173955	4.8540459460409	2.369246326504e-06	0.000390682644249929	4.53370451966744
ISL1	2.05376680547063	-2.15598106094694	5.71390949141246	3.78001383514448e-08	1.77872699808396e-05	8.39038714210538
CADPS	2.04511160462968	0.500779251519705	4.704101267293	4.63852957791983e-06	0.000653220081363557	3.91110238569369
RGPD3	2.01451475918728	-3.80384385068268	5.47666314481341	1.24077294204742e-07	4.35240588562197e-05	7.27946202793914
COL2A1	1.97872763255084	0.539950674710368	4.37520295370366	1.91679413851431e-05	0.00173618353588529	2.60082751584129
PHGR1	1.9395938822944	2.23731052283722	4.51486275178774	1.05917346512573e-05	0.00114159964595926	3.14777120590454
SNAP91	1.9264000792913	-0.264477840426622	5.18429641224764	5.11467957929106e-07	0.000131570017497683	5.95866017057994
ADGRF1	1.89506696068038	-1.18266545516918	4.83118722839973	2.62736714567725e-06	0.000424209869969884	4.43779007837541
CACNA1D	1.86949085220533	2.60581690598248	6.92443452068927	5.32542498428196e-11	7.90334032475014e-08	14.5533572945332
LRAT	1.856534328886	-2.66470044698164	4.96202995762423	1.44670765156048e-06	0.000270983793413169	4.99160717518701
SLC27A6	1.85449049860775	-3.28672609601938	5.73835363868911	3.33782629500673e-08	1.61685520420699e-05	8.50678181171974
OGDHL	1.8034853864863	1.73893355277556	5.29866438514546	2.95808273419453e-07	8.15289859868785e-05	6.46884907130593
RBM24	1.7884884857339	0.0190654450482396	5.14284858380347	6.22435443962561e-07	0.000150108087754621	5.7758561218547
DACT2	1.78800765044796	0.0788908579587191	4.44830690779332	1.40761629079457e-05	0.0013715727827424	2.88536429092315
KCNG3	1.77627594971235	-0.00762116502040319	5.70102305175325	4.03565392248963e-08	1.81955772321227e-05	8.32916987411462
FEV	1.77500314585051	0.0097083484997931	4.22767286596864	3.53262798776109e-05	0.00273714826377007	2.03850962388276
SP8	1.75666478219288	-1.69339036074439	4.19430768853107	4.04759018035573e-05	0.00305177377170871	1.91356745783225
SYT13	1.75126447767892	0.567271793252397	4.20209148263185	3.92139815660299e-05	0.00300220375537069	1.94264120593467
ELAVL3	1.72484902510682	-2.88043453807683	5.40564753763613	1.75901677128646e-07	5.47366299490801e-05	6.95366320448148
MYT1	1.72050867641769	0.522946211519569	4.78619362525353	3.21712900064435e-06	0.000492603728646281	4.25004541816528
IRX4	1.71103514233386	2.23258866499091	4.96283753376434	1.44133790866726e-06	0.000270983793413169	4.99506136642577
GSTT2B	1.70618775630547	-0.0229135652577712	3.38106434926239	0.000862072815297883	0.024935488494066	-0.866971813574847
ZMAT4	1.6931923856785	-1.87812730494823	4.63654017212061	6.24665059664366e-06	0.000792872565533198	3.63568012603674
PAX1	1.6831699584514	-1.927161605758	5.17213914378237	5.41852969419972e-07	0.000137552228144994	5.90492489326257
LRRC7	1.67786926375724	-1.47755370796887	4.79573998892881	3.08218436256729e-06	0.000475716663256086	4.28976312091508
B3GNT6	1.67121765958158	-0.0845053501376736	3.37443320019296	0.000881997723556237	0.0253199568740722	-0.887485552690785
INSM1	1.65294346132191	-0.0391403010421497	3.77289176484805	0.000210281498401908	0.00984699259385442	0.408096307285706
FOXQ1	1.64824091511449	-0.120824239826883	4.95721205720981	1.47914772618414e-06	0.000271782829345435	4.97100900656937
CDH7	1.61048546328085	-1.46563638774531	4.91387958322073	1.80437804966094e-06	0.000316471506473714	4.78645115677554
ZBTB8B	1.60432262662512	-3.2543909477458	5.90033276871023	1.45056223889725e-08	7.77380479862351e-06	9.28698051954525
ELAVL2	1.59037226049456	-0.438774493011698	5.28074490968912	3.22486890804578e-07	8.76301349900383e-05	6.38835535968758
POU4F1	1.58016828895295	-2.79881467103976	4.79661771256659	3.07005533915039e-06	0.000475716663256086	4.29341804708387
PTK6	1.57900400622654	3.38891982307405	7.25831596951915	7.62549909377809e-12	1.6346528224029e-08	16.3833184510815
CA4	1.54645083690603	1.26050169895568	4.21640177394456	3.69914617651467e-05	0.00284333176029871	1.99621025269534
ATP8A2	1.54179853575957	0.417733306269114	4.58523671957071	7.81423016332573e-06	0.00095417685152559	3.42867964873465
IL1RAPL1	1.53581294078539	-1.82716560301563	4.52206964335134	1.02685827753918e-05	0.00112563504253202	3.17637625877693
PDE8B	1.52070997123703	2.17594380531054	6.00752405326902	8.28625057606447e-09	4.84444340497006e-06	9.81165486448643
ABCC8	1.51511783152644	0.802503447909624	5.13521379641777	6.45281592412157e-07	0.000150547448836883	5.74230560826546
FRRS1L	1.51338663074746	-1.96749020737122	3.99264697415033	9.05358297188788e-05	0.00545846175864478	1.17620761459567
CRISP2	1.50574090674894	-1.72938199555246	3.56087282898609	0.000457896108972144	0.0165744645973726	-0.297114417825949
SULT4A1	1.50147246392501	-1.11304210035499	3.63892726724142	0.000345216215164194	0.0137603185459753	-0.0416418122510995
PTPRT	1.50127561482372	1.54926234258903	3.681799091737	0.000295014315840324	0.01250797678131	0.100742034820889
GREM1	1.49406621027143	-0.38045541309131	4.38889081317857	1.80965079794567e-05	0.00165467264667136	2.65380837496277
NOVA1	1.49262681864139	-0.0245266636304809	5.44586227780857	1.44411885686932e-07	4.80368708716894e-05	7.13776987951413
KLRG2	1.48764359071468	0.298021452877615	4.8726699229467	2.17723786999049e-06	0.000370411322338199	4.61211400362395
CNTN4	1.48046894442169	0.124594263651412	4.5586390803757	8.76967722758235e-06	0.00100710346876039	3.3220965353696
ADAM7	1.48010017532078	-2.19747706601956	3.44838870861345	0.000682252416554756	0.0214725870678481	-0.656671620596778
THSD7A	1.46181725146605	1.05588784796618	4.97448872321321	1.36598207363334e-06	0.000264906278347504	5.04494498699755
C1orf87	1.45612547631769	-3.64577302442852	5.6955284877964	4.14971957815477e-08	1.81955772321227e-05	8.30309805772938
TOX2	1.4468190356517	2.28776516900255	6.30687087858414	1.67586691853711e-09	1.31567149345482e-06	11.3110196634639
SLC22A3	1.43988792219973	2.1395898773081	4.12951702362236	5.25952934875434e-05	0.00381474059118487	1.67332131913658
RET	1.43703617754115	1.16425287958588	4.42517204040149	1.55274021304062e-05	0.00146131789903379	2.79489914394283
SLC44A5	1.4062654744391	0.585699585382201	3.98073334639245	9.48561795756709e-05	0.00561368181764852	1.13361114743281
F3	1.40289572631095	4.83158695059745	4.2827598634724	2.81678353546114e-05	0.00230949978691796	2.24660112569675
PHF21B	1.39600060183098	0.379453323823128	4.11869889069443	5.49299623291921e-05	0.00389619030594524	1.63351407632765
PAK6	1.3874573043418	1.70734008535205	5.41116274678414	1.71217189450056e-07	5.41523481321299e-05	6.97885235571882
TPO	1.38206856094875	-1.68853735417417	4.87044114296254	2.19939764931296e-06	0.000370411322338199	4.60271807821043
OR51D1	1.37520674165994	-2.82993831216953	4.02903057172695	7.84708469869294e-05	0.00502674175917167	1.30696581490415
PLPPR1	1.37389243160269	-0.229287704277766	3.94660309778398	0.000108345015340997	0.00622113208623173	1.01218232489966
NOL4	1.36844684495289	-1.44033562936901	3.51212015499714	0.000544942327437637	0.0184125609864349	-0.454205916630579
NKX2-1	1.36829519186001	-1.11780152349741	3.36702879662182	0.000904753808228455	0.0257415082720177	-0.910348911933243
PABPC1L2A	1.36364964049861	-2.39468355366112	3.29088596566321	0.00117275686559488	0.0297710502735817	-1.14285538481656
EML6	1.34935431832441	-0.405493426093104	6.20848485396717	2.84952118485383e-09	2.03614119331055e-06	10.8127813479726
GHRHR	1.34758028078262	-0.346850770074108	3.85146207849887	0.00015623122438637	0.00808088206993632	0.678425158224751
EN2	1.34626506002243	-0.971744954245521	4.34828687269921	2.1454956908299e-05	0.00191634483162876	2.49704346687069
STMND1	1.34558847212883	-2.49762317465272	4.21869208846545	3.66471302304103e-05	0.00282813233414122	2.00479794718332
DNASE2B	1.33582031222689	1.97501022635475	4.25194795264206	3.19800182387579e-05	0.00256012652232513	2.12993207069765
SLC5A1	1.33564785132397	1.91118774673156	4.04322023383895	7.41939574804018e-05	0.0048358919650993	1.35823499724444
INA	1.33397107459354	-1.75772581658859	3.24372409167245	0.00137404710936418	0.032768221113675	-1.2844727646961
TGM3	1.33297981405071	1.20165035823502	4.41117929423136	1.64737709144882e-05	0.00152802145314048	2.74037083742339
ALOX15	1.3201664783503	1.84688351948721	4.75141347045433	3.75872348401482e-06	0.000553565283794641	4.10587457936568
