GeneSymbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
ERG	4.59246412559174	9.60926957403651	45.3759474330771	5.56130531871404e-178	1.14173598193199e-173	392.719833679406
COL2A1	4.23918887844611	6.21533874239351	13.0327386163202	1.45645160795111e-33	3.47685482688794e-31	65.4429897996619
ALOX15	3.9313431129908	5.09755862068965	20.438129151955	1.12328740734872e-67	4.78707706920069e-64	143.151518595547
CRISP3	3.91434898531047	8.3082784989858	12.72490073728	2.87547414700502e-32	6.08592621010445e-30	62.4945314759793
TDRD1	3.86206645084933	6.51119858012171	17.7131866502779	1.12872121808604e-54	1.78251127748511e-51	113.531866059729
ANKRD34B	3.80343742167918	4.56982312373225	15.6141593994242	6.18668334780827e-45	3.96914403532824e-42	91.3423100355173
LOC100190940	3.51008745474797	4.14868113590264	20.4347711691004	1.16587361646388e-67	4.78707706920069e-64	143.114713075833
B3GNT6	3.47396495057085	4.6896046653144	13.2349031252253	2.01633155588085e-34	5.11052923978195e-32	67.3978217435703
GPR110	3.40224260651628	6.42616064908721	16.8356622198757	1.45921393913377e-50	1.57671906160086e-47	104.16375710127
KIAA0087	3.33787013366749	3.12808498985801	25.5171648925281	3.9775580787969e-92	4.08296336788502e-88	198.791693928777
PAX1	3.32209248294346	2.73314787018256	20.8336715414124	1.39829938923408e-69	9.56902882032523e-66	147.489664909466
GDA	3.32167986633248	2.40811764705882	18.0858838245177	1.96044094660473e-56	3.35398771948293e-53	117.542438064221
OGDHL	3.19872039821775	6.89513955375253	19.9398252812766	2.79336597625e-65	9.5579672487354e-62	137.695170336694
NKAIN1	2.96979459934556	7.78628843813387	15.9570390414891	1.67788559919633e-46	1.23024969112502e-43	94.9117592224952
TDO2	2.9462870979532	3.1054336713996	12.0310995238316	2.09337254115187e-29	3.28068231067541e-27	55.9822876160443
SERPINA11	2.92930700710107	5.22679939148073	14.9464579710854	6.44413138582718e-42	3.39225685515467e-39	84.4675459379021
LOC389332	2.80511534391533	4.58718904665314	14.0409691356159	6.63551716839758e-38	2.37177249223663e-35	75.3278055859206
GLDC	2.6492835143414	4.63213245436105	13.5027486546301	1.43701353033893e-35	4.04135449011757e-33	70.0094167966872
NPY	2.5967956488443	11.8910537525355	7.82963234864045	3.02636228761875e-14	7.661062609718e-13	21.5949658568831
DACT2	2.59181205444164	7.84131886409736	14.0514323068275	5.97151403113389e-38	2.18919969748534e-35	75.4320868183171
EML6	2.56998528439152	5.39105415821501	18.7581335131901	1.25870221235329e-59	2.87123960217923e-56	124.815810887815
KCNG3	2.49057208472569	5.18321501014199	15.9338834097271	2.14242127578091e-46	1.51668651006145e-43	94.6699267634227
SLC18A3	2.46892282790309	1.33206835699797	17.4324659123013	2.36164643057152e-53	3.23230674797555e-50	110.522843506923
CHRM3	2.45792361807295	5.49282596348885	14.0400007413469	6.70057499024473e-38	2.37177249223663e-35	75.3181557433466
MAGED4B	2.43759155005568	7.92968296146045	16.9759756655545	3.23694885531459e-51	4.15340999997553e-48	105.653861722961
SLC44A5	2.43578336988303	5.22379371196754	12.1388816724461	7.6150691202285e-30	1.21191758944412e-27	56.9813194990254
MDFI	2.4004900776246	7.47355618661258	16.5742475659032	2.39162413314765e-49	2.13478449797918e-46	101.39635542306
CDH7	2.38495041248955	4.6829770791075	16.58980415206	2.02562555336535e-49	1.89027693684503e-46	101.560711181992
SYT13	2.38421062030073	7.00276024340771	13.5809721704542	6.61450746842118e-36	1.88605331009287e-33	70.7766427730125
KCNH8	2.34102149470899	5.57805821501014	14.2973281152919	4.96500863880747e-39	1.9232382519758e-36	77.8921283262887
WT1	2.30689089564188	3.50505294117647	13.9160178625637	2.33127381421377e-37	7.5969922866363e-35	74.0850379417912
INSM1	2.27890143240042	5.86063914807302	13.6054299981796	5.187556496219e-36	1.54348601257067e-33	71.0169385260148
GRM7	2.27142773600668	3.12653286004056	12.8906777603203	5.79381545305882e-33	1.30711023353074e-30	64.0780307186388
ATP8A2	2.26629643031188	4.37378640973631	10.6321566605461	6.60034855313074e-24	5.74174388965144e-22	43.4827777276259
HLA-DMB	2.22847945210246	9.80761724137931	19.7468735997913	2.35622894484748e-64	6.04667252971486e-61	135.585729847519
ADARB2	2.21397363721803	4.37011967545639	16.2819995820235	5.37341987273092e-48	4.24293499950637e-45	98.3168752610169
NKX2-2	2.18323110554163	2.34275801217039	12.6458554325097	6.1502287526671e-32	1.20251615516434e-29	61.7431037249506
MAGED4	2.17769884781397	6.6213154158215	14.4916415620807	6.87078203127999e-40	2.76582657063094e-37	79.8484228378286
KCNN4	2.17226764480646	9.49173590263692	11.7125786563499	4.03989595658309e-28	5.49265324428151e-26	53.0585001728454
NKX2-1	2.15309652777778	2.22380770791075	11.1694051301618	5.676457764953e-26	6.06967072471276e-24	48.175762804701
CADPS	2.15104950048732	6.38638478701826	10.9810522485387	3.05551641476434e-25	2.97297402820436e-23	46.5144970069462
DLX6AS	2.110041927736	3.0002200811359	14.7701519202507	3.96329618905807e-41	1.93729692288957e-38	82.6705001783368
MARCH11	2.09411644040657	2.0577476673428	13.9849476209892	1.1662730949952e-37	3.99059777337526e-35	74.7700280891338
DLX6	2.08965094855193	3.00312028397566	14.8817347471677	1.25653950956214e-41	6.44918903282767e-39	83.8069086231521
CACNA1D	2.08563328460037	9.32300405679513	17.6954070760572	1.3688849612992e-54	2.00737201824805e-51	113.340975825699
TMEM178	2.015326890142	8.7647673427992	13.2830536984751	1.25639033904607e-34	3.26502451400199e-32	67.86551314222
CA8	2.01427155736562	5.12870486815416	15.401986424292	5.6927123123518e-44	3.33918239350235e-41	89.1464041091268
BPIL1	2.01331917641323	6.56003975659229	10.0252544285441	1.19462215019722e-21	7.93708503027474e-20	38.357127525073
KCNC2	2.00253301308826	6.8338448275862	7.98718064285572	9.8492398644281e-15	2.62945246315616e-13	22.6955140799282
ABCC8	1.98872669346978	5.57044503042597	14.5885837888151	2.55147973720718e-40	1.13873650010573e-37	80.8283383959781
BRSK2	1.96030990671121	5.07594077079108	10.4557500375592	3.05008417442433e-23	2.50472912403726e-21	41.9731116426578
FOXD3	1.94990511521859	3.96895882352941	14.0572941111114	5.62891934178941e-38	2.10112207430794e-35	75.490522865444
CGA	1.91642889515454	2.52193204868154	9.57452403067705	4.99528018800653e-20	2.74941292921646e-18	34.6793385563285
TMEM105	1.8963084081732	2.35618397565923	11.8906392088157	7.76302620372394e-29	1.15489078233661e-26	54.6876374836004
CACNA1B	1.88935797827902	4.0515756592292	12.3252833275804	1.3101494302016e-30	2.31873860362404e-28	58.7202746515337
SHH	1.84553918476747	3.3122	10.8660052479418	8.47178644209249e-25	7.94181624000725e-23	45.5081774991795
GRIN3A	1.83614662350318	6.89138012170385	9.2626607706853	6.1836759249471e-19	3.00831437770531e-17	32.2025122719564
SULT4A1	1.8328430485937	2.76081298174442	10.8052613032558	1.44775466220506e-24	1.32099569844755e-22	44.9794568008837
PLA1A	1.82788889062932	9.17084036511156	14.5275441168525	4.7621916317765e-40	2.08016583405046e-37	80.2110341183556
LPPR1	1.80684837440823	4.34480405679513	10.9907413437061	2.80323142871341e-25	2.75360484361179e-23	46.5995406384535
LAMC2	1.8063346526037	9.29766369168358	15.6217368804253	5.71417699104216e-45	3.78425979439018e-42	91.4209201917916
PLA2G7	1.79156653091058	9.81887707910751	15.4325331357147	4.1383320066091e-44	2.57454412411166e-41	89.4619214928756
ATP12A	1.78635365671122	2.89400791075051	7.8756064720092	2.18477477185515e-14	5.63485252087766e-13	21.9143634092466
GP2	1.7607916736285	8.93045598377281	8.46165486221625	3.03543314919834e-16	1.00350149038715e-14	26.1105275611622
C1orf87	1.74911202485379	1.47086227180527	16.6497685122444	1.0674285730108e-49	1.04353850494817e-46	102.194633313591
F5	1.74079111145918	9.47541967545639	10.048548824424	9.82032067801458e-22	6.67586700396157e-20	38.5502567635428
